Url de la page ; Titre ; Auteur ;     Prix ; Description ; Resumé ; Collection ; Url image 
https://www.lalibrairie.com/livres/beton--arme-de-construction-massive-du-capitalisme_0-6907399_9782373090772.html?ctx=f513473e4f516c3146571a1426954b99 ;Sciences Humaines ;Anselm Jappe ;14.00 ;Format : Broché              Nb de pages : 194 pages              Poids : 208 g              Dimensions : 12cm X 19cm              Date de parution : 06/11/2020              ISBN : 978-2-37309-077-2              EAN : 9782373090772 ;Une critique du béton qui incarnerait la logique du capitalisme dans les secteurs de l'urbanisme et de l'architecture. Produit de manière massive, ce matériau est mis en cause pour sa durée de vie limitée, son empreinte écologique, son impact sanitaire et son allure monotone. Il aurait également contribué à la perte des savoir-faire artisanaux et à la production de constructions en série. ©Electre 2020 ;Pour en finir avec ;https://www.lalibrairie.com/cache/img/livres/772/9782373090772.jpg 
https://www.lalibrairie.com/livres/saint-germain-des-pres--1900-1950-art-nouveau-art-deco_0-6918326_9782871433750.html?ctx=f513473e4f516c3146571a1426954b99 ;Saint-Germain-des-Prés ;Maurice Culot ;35.00 ;Format : Relié sous jaquette              Nb de pages : 303 pages              Poids : 1358 g              Dimensions : 24cm X 22cm              Date de parution : 20/11/2020              ISBN : 978-2-87143-375-0              EAN : 9782871433750 ;Une description illustrée du patrimoine architectural du quartier parisien de Saint-Germain-des-Prés datant de la première moitié du XXe siècle. Sont notamment présentés les cafés célèbres tels que la brasserie Lipp ou les Deux magots, les galeries d'art, le magasin Au bon marché ou encore la faculté de médecine. ©Electre 2020 ;Grand Paris ;https://www.lalibrairie.com/cache/img/livres/750/9782871433750.jpg 
https://www.lalibrairie.com/livres/chronologie-de-l-architecture--des-cercles-de-pierre-aux-gratte-ciel_0-6821842_9782212575071.html?ctx=f513473e4f516c3146571a1426954b99 ;Chronologie de l'architecture ;John Zukowsky ;29.90 ;Format : Relié              Nb de pages : 271 pages              Poids : 1330 g              Dimensions : 23cm X 26cm              Date de parution : 05/11/2020              ISBN : 978-2-212-57507-1              EAN : 9782212575071 ;Un panorama de l'évolution des styles architecturaux depuis les pyramides de Khéops jusqu'aux buildings du XXIe siècle. Chaque construction est mise en contexte avec les événements historiques, les bouleversements sociaux, les développements économiques et les innovations technologiques qui ont permis son élaboration. ©Electre 2020 ;Beaux-livres ;https://www.lalibrairie.com/cache/img/livres/071/9782212575071.jpg 
https://www.lalibrairie.com/livres/la-maison-des-francais--discours-imaginaires-modeles--1918-1970-_0-5324676_9782804706524.html?ctx=f513473e4f516c3146571a1426954b99 ;La maison des Français ;Monique Eleb ;33.90 ;Format : Broché              Nb de pages : 287 pages              Poids : 788 g              Dimensions : 21cm X 22cm              Date de parution : 19/11/2020              ISBN : 978-2-8047-0652-4              EAN : 9782804706524 ;En étudiant l'évolution de l'architecture des maisons individuelles, les auteurs montrent que le public reste attaché à une image traditionnelle de leur habitat, préférant des architectures pittoresques ou néo-régionales, loin de toute modernité plastique ou de la modernisation qui touche le reste de la société. ©Electre 2020 ;Architecture ;https://www.lalibrairie.com/cache/img/livres/524/9782804706524.jpg 
https://www.lalibrairie.com/livres/atlas-des-mondes-urbains_0-6851488_9782724626100.html?ctx=f513473e4f516c3146571a1426954b99 ;Urbanisme - Architecture ;Eric Verdeil ;25.00 ;Format : Broché              Nb de pages : 172 pages              Poids : 460 g              Dimensions : 21cm X 24cm              Date de parution : 30/10/2020              ISBN : 978-2-7246-2610-0              EAN : 9782724626100 ;Un ensemble de cartes qui donnent à voir les mondes urbains présents et futurs, des mégapoles qui se forment sur tous les continents aux moyennes et petites villes qui s'étendent sur les territoires autrefois ruraux. ©Electre 2020 ;- ;https://www.lalibrairie.com/cache/img/livres/100/9782724626100.jpg 
https://www.lalibrairie.com/livres/l-art-du-paysage--parcs-et-jardins-de-l-antiquite-a-nos-jours_0-6846232_9782846733427.html?ctx=f513473e4f516c3146571a1426954b99 ;L'art du paysage ;Caroline Foley ;48.00 ;Format : Relié              Nb de pages : 288 pages              Poids : 1344 g              Dimensions : 21cm X 27cm              Date de parution : 17/11/2020              ISBN : 978-2-84673-342-7              EAN : 9782846733427 ;Histoire du jardinage et des paysages de l'Antiquité romaine à aujourd'hui. Sont présentés différents mouvements tels que l'art anglais aux XVIIIe et XIXe siècles et le Art and Crafts du début du XXe siècle. ©Electre 2020 ;Jardins & nature ;https://www.lalibrairie.com/cache/img/livres/427/9782846733427.jpg 
https://www.lalibrairie.com/livres/cabanes-insolites--l-art-de-vivre-des-nouveaux-robinsons_0-6389693_9782376711759.html?ctx=f513473e4f516c3146571a1426954b99 ;Architecture et urbanisme ;- ;39.95 ;Format : Relié              Nb de pages : 255 pages              Poids : 1764 g              Dimensions : 25cm X 31cm              Date de parution : 14/10/2020              ISBN : 978-2-37671-175-9              EAN : 9782376711759 ;Présentation abondamment illustrée de bâtiments originaux qui offrent le calme, l'équilibre et la liberté, en fusion avec la nature : cabanes dans les arbres, abris dans les bois, yourtes au sommet d'une montagne ou bulles au bord de l'eau. ©Electre 2020 ;- ;https://www.lalibrairie.com/cache/img/livres/759/9782376711759.jpg 
https://www.lalibrairie.com/livres/autun_0-6861674_9782809918823.html?ctx=f513473e4f516c3146571a1426954b99 ;Autun ;- ;85.00 ;Format : Relié sous jaquette              Nb de pages : 441 pages              Poids : 3630 g              Dimensions : 28cm X 36cm              Date de parution : 12/11/2020              ISBN : 978-2-8099-1882-3              EAN : 9782809918823 ;Edifiée en 1120, érigée cathédrale à la fin du XIIe siècle, Saint-Lazare d'Autun se caractérise par sa nef, chef-d'oeuvre de l'art clunisien, ses chapiteaux romans et son portail. Des spécialistes en offrent une présentation à la fois historique, architecturale et artistique dans des chapitres courts dédiés à ses spécificités, illustrés de photos du bâtiment et de documents d'archives. ©Electre 2020 ;La grâce d'une cathédrale ;https://www.lalibrairie.com/cache/img/livres/823/9782809918823.jpg 
https://www.lalibrairie.com/livres/construire-un-nouveau-nouveau-monde--l-amerikanizm-dans-l-architecture-russe_0-6844604_9782375560334.html?ctx=f513473e4f516c3146571a1426954b99 ;Construire un nouveau Nouveau Monde ;- ;39.00 ;Format : Broché              Nb de pages : 544 pages              Poids : 1070 g              Dimensions : 18cm X 25cm              Date de parution : 19/11/2020              ISBN : 978-2-37556-033-4              EAN : 9782375560334 ;Une étude sur les relations culturelles entre les Etats-Unis et la Russie à travers l'analyse de la notion d'américanisme, depuis le début des années 1860 jusqu'aux années 1990. L'historien met en lumière les évolutions architecturales et urbaines et les confronte aux domaines de la culture savante et populaire : publicité, cinéma, littérature, musique, production industrielle, entre autres. ©Electre 2020 ;- ;https://www.lalibrairie.com/cache/img/livres/334/9782375560334.jpg 
https://www.lalibrairie.com/livres/habiter-l-ornement_0-6966088_9782810706808.html?ctx=f513473e4f516c3146571a1426954b99 ;Habiter l'ornement ;- ;26.00 ;Format : Broché              Nb de pages : 254 pages              Poids : 652 g              Dimensions : 19cm X 23cm              Date de parution : 12/11/2020              ISBN : 978-2-8107-0680-8              EAN : 9782810706808 ;Une analyse critique des pratiques ornementales en architecture et de leur lien avec le concept d'habiter développé par Heidegger. Les contributeurs interrogent cette relation selon quatre axes : l'esthétique, l'espace architectural, la question du corps et les pratiques plastiques contemporaines. ©Electre 2020 ;